,cleaned_tweets,binarized
234,"""Trump Signs Executive Order to Promote ‘Patriotic Education’""  PATRIOT  MAGA  TRUMP  POTUS",1
235,mialp I suspect that people are trying to convince  Trump that at the moment he's out on bail.,0
236,TRUMP  POOR  HOMELESS  UNEMPLOYED ...  TRUMP REALITY!!!!,0
237,We will see at the final  Debates2020 as one candidate speaks the other’s 🎤 to be silenced .... sucks tho that  JoeBiden will still hear  Trump going on and on on stage. Biden needs to focus on the American ppl and less on Trump  TheView,1
238,"What are your thoughts on the Trump Town Hall last night?

 Trump  TownHall  DumpTrump",0
239,"Tonight in Kenosha,  Trump was going to bring up  ScottBaio to counter Lady Gaga appearing with  Biden.  But Chachi couldn't get off from his dishwasher job at the Brat Stop.",0
240,BregmanPs  JillWineBanks  donwinslow Extra time for  Trump to cheat.,0
241,"With respect to racial groups, data shows that around 55% of white voters supported  DonaldTrump in  USElections2020, while ""African Americans, Latinos and Asian Americans voted strongly for  JoeBiden"", reports said.

How the  US voted:",0
242,"Remember when  realDonaldTrump HID in the  WhiteHouse basement during a RIOT?

 Trump is expecting to LOSE THE ELECTION SO BADLY TOMORROW, he's built an even TALLER WALL around the  WhiteHouse.

And guess what?  Mexico isn't going to pay for *that* wall, either!

 TrumpIsLosing",1
243,"How the hell is GA STILL not called for  Trump? It was 94% since last night &amp; is now at 98% with Trump STILL leading but still they don't call it

It's almost like they're searching for more votes for  Biden to win 🙄😒

 Elections2020  USElection  TrumpvsBiden  thursdaymorning",0
244,"Trump suggests he might fire  Fauci after election
 TrumpMeltdown",1
245,"Lying  TRUMP tweeted why is he all of a sudden he's down with the mail in Votes,well U Lying fool U are down already without the mail in Votes, haven't U looked at the count. It's  224  JoeBiden 2your 213 TRUMP. if U get Georgia. Nevada,Arizona,Wisconsin&amp; Michigan close the door.",0
246,"sav_says_  Anthony53073419  realDonaldTrump Im proud to be a hispanic American, i studied and worked hard to come here legally how it should be, im now a lawyer and im here to do my bit for our country, i respect your values that are actually exactly the same as ours and now im proudly voting  Trump HELP ME OUT FOLLOW ME!",1
247,"Y'all,  Trump is so SO pissed about having to only address *this* crowd. He's just sort of Ben Steining his way through the speech on the prompter. No major adlibs or tangents. 

Donnie is being forced to play by the same rules as everybody else and I. Am. Here. For. It.",0
248,Trump  Ivanka  EricTrump  MAGA  MAGA2020  MAGA2020LandslideVictory  JaredKushner  VoteBlueToEndThisNightmare,1
249,"RESIST 🌊🌊 GOP  Trump Cult accuses others of WHAT they do! Be it sabotage of USPS, corruption, pay to play, lying, sex slavery rings, pedophilia, child kidnapping, rape.
👉| 'QAnon Lovin' Mail Carrier Accused Of Putting Mail In Trash | Crooks and Liars",0
250,"COVID19  = Lockdown2 
 GunControlFail = shooting
 ClimateAction = nature
 Taxes =  SocialSecurity 
 CaliforniaFires = fema 
 hurricane = DisasterRecovery 
 PoliceBrutality = BLM

 Texas  Florida   USA NEVER FORGET 
WHAT  TRUMP  DID NOT DO FOR YOU !

 WakeUp  Voters",0
251,realDonaldTrump  Pennsylvania  GetOutAndVote for  Trump  Trump2020  TRUMP2020ToSaveAmerica,1
252,"Chanting “This isn’t over!"" and “Stop the steal,” supporters of  Trump protested at state capitols across the country, echoing Trump’s unsubstantiated allegations that the Democrats won by fraud.  | Follow LIVE updates on  USAElections2020",1
253,"Michael19661985  durante66  CaesarSch  nytimes I hope I’m always honest.What I see is people believing what  Trump tells them. He’s run &amp; run with ‘fake news’ story &amp; influence rubs off,he’s inciteful ‘open states up’, don’t wear masks’, ‘lock Hilary up’ lock anyone who doesn’t worship me up! Trump’s a narcissist &amp; a danger!",0
254,"Anyone attending those rallies or following  DonaldTrump should be voting for  JoeBiden by now.  Trump appeals to the few that want authority &amp; drama, even if it's really bad for them.",0
255,"NYC, Seattle and Portland sue Trump administration over 'anarchy' designation and threat to withhold funding - CNN  Whitehouse  Trump  Political",0
256,"foxnewstalk  I DARE PEOPLE TO ADMIT THE TRUTH! You Voted for Biden, only to get rid of Trump. psst we would have voted for whoever was running against Trump  vote   VoteHimOut2020  Biden  Trump  ElectionResults2020  CountEveryLegalVote  ADMITTHETRUTH",0
257,"Mexico may want to pay that wall. 

 Trump",1
258,"DonaldTrump KNOWS ""massive election  fraud [was] perpetrated on the American public"" because  Trump perpetrated it himself - right down to his efforts to destroy the  USPS, suppress votes &amp; infect people with the  coronavirus!

FU,  realDonaldTrump. Pack for prison!

 WhiteHouse",0
259,"brianbeutler  USPoli 
 Trump 
 TrumpIsANationalDisgrace 
 TrumpIsUnwell  TrumpIsLosing 
 TrumpIsALoser 
 TrumpIsPathetic 
 EnoughIsEnough",0
260,Shame doesn't begin to describe the evils of the  Trump admin,0
261,"The new world, post- DonaldTrump, post- BorisJohnson and post- Covid19 just has to be a better and more caring world. If not, we've learnt nothing!",0
262,"HKrassenstein Sunday Shame of  DopeyDon

-Took $$$ from Egypt 2016 Campaign 
-Fed Debt totaled 102% of GDP 1st time exceeded Economy in 70 yrs
- Trump Rally”VIP” among 6 Chinese Nationals charged with drug money laundering
- COVID19 221K+Dead 8.1M+Infected

 UNMAGA
 HumptyTrumpty",0
263,"MeidasTouch  Election2020 isn't over until all votes are all counted. including  MailInBallot from deployed military. Don't let  Trump &amp;  GOP take away your votes!

 

 

. USArmy . USNavy . USMC . usairforce  Veterans . VFWHQ . amvetsupport . iava",0
264,"Trump gets me angry. Fuck booty pics, send me cat pics to counter that anger.",0
265,"THE  TRUMP  FAMILY  IS  FUCKING  TRASH Refinery29: Aubrey O’Day, Donald Trump Jr.’s Alleged Ex, Is Spilling Tea &amp; “Has Receipts”.
 

via  GoogleNews",0
266,"update: RAW STORY: is already complaining about losing to Biden..., (October 25, 2020; 10:09 HKT)  DONALDTRUMP  DRUMPF  TRUMP  FAIL",1
267,"Trump vanity EO:s are quite thick - book.

 VOTE
 Elections2020",0
268,"Hi Brown: I will be on the phone call. I know you are  Obama supporter and voted for Obama in 2008 and 2014.  Trump nominated you to be 22nd  USAF Chief it Staff, very nice of Trump is it? I have no comments on START Agreement.  Russia and  EU are not talking. Difficult situation",1
269,"judgeyourself99  realDonaldTrump America, Let’s not wait until we get another  trump to make a huge voting turnout like  Election2020  .  If we turnout in these numbers, &amp; more, every time we vote, we will NEVER again have another  trump.  PresidentElectJoeBiden",0
270,gtconway3d Obama was as BRILLIANT as ever ..... something  trump  will NEVER be ...... which drives Trump insane with jealousy,0
271,"Nick Adams wants people to wear t-shirts that describe  Trump perfectly!  America's fraudulent “ President"" will be GONE, for good. But we will NEVER forget this unprincipled thug!",0
272,VOTE  President  Trump !   realDonaldTrump: 56% of  Americans say they are better off today than four years ago under  Obama  Biden,1
273,The  Trump  Biden US  Election2020 summed up in just four Images. You're welcome.,1
274,"Opinion: Until  Trump Is  Safely in  Prison, Here’s How To  Protect  America 

 

""Hopefully our now soon-to-be  FORMER President, also known as  IndividualOne in a  court filing against Trump’s former  fixerlawyer  MichaelCohen by the Southern District of..",0
275,"Trump: Remember that CNN Velchy? *makes fun of him getting hit with a tear gas canister* I don't even know who Vellchee is!

His name is ALI VELSHI. He works for MSNBC. And he is a goddamn national treasure. You *wish* you were as awesome as  AliVelshi.",1
276,"realDonaldTrump 71,000,000 fools.  DonTheCon  Trump is just further misleading his hypnotized voter base of desperate and insecure white Republican victims. He can't back up any of his accusations with facts.  TrumpIsALiar with only his big mouth at his  TrumpRally hate rallies",0
277,Police seek information on woman who likely threw rocks at  Trump  House - Oct 30   11:34 AM ET,0
278,"Reine1989  realDonaldTrump That’s because  Trump is wee, little man. He’s a coward who hides behind a false veil of patriotism. Most Trump supporters are the same, they try to compensate with American &amp; Trump flags than a VFW, but few have ever served in the  Military",0
279,"I heard the same computer has incriminating evidence on Donald  Trump and the  Dems are just waiting for the  Republicans to swallow the story ‘hook, line and sinker’!  ByeDon  VoteBlueToEndThisNightmare  VoteBiden",0
280,‘Drunk all the time’: Michael Cohen explains how ‘Russians used’ Rudy Giuliani -  Biden  Harris  Trump  Pence  GOP  Republican  Democrat  Democrats  COVID19  Covid  Coronavirus,0
281,""" POTUS News:  Trump repeats false claim of election win as Biden calls for 'patience'  News"":",0
282,"ACA 
 Trump 
 VoteThemAllOut 
 VoteBlueDownBallot",0
283,SAVoltolin  shipman96 I have never seen the green party candidate ever! I watch cable news 24/7! You are very dangerous! A wasted vote! More dangerous is you basically voted for  trump!  kanyewest would have been a better vote! At least it would have proved your malice! Your candidate was even listed!,0
284,"briantylercohen You live in Ca,so you are a liar,or not awake.Trump is shutting down Thanksgiving in Ca? Newsom is shutting down Thanksgiving,he shut down the 4th as proof.Biden is afraid of Covid,so are you,Democrats operate on feelings,not facts.Use science buddy  MAGA  TRUMP",1
285,"Trump still has  COVID19 shows in his face &amp; eyes.Doesn't look well up   sweating is another main   he rather  lie to his  supporters &amp; put them at  risk!They don't care.
Or we wouldn't be in this mess.
&amp; 216,000 &amp; rising deaths!",0
286,"Despite  Trump's repeated insistence (  lies ) that the country is ""turning the corner"" on  COVID19, 10 states reported their  highest  number of new coronavirus infections since the very beginning of the pandemic as  US Surpasses 8 Million -",0
287,"Not one MSM outlet has commented on any of the things many of us have seen with our own eyes through footage from citizen reporting

 Biden has cheated, and hatred for  Trump has overridden a desire to uphold democracy

What a future for our kids...

 CCP  COVID  USElections",1
288,Ducks can get the flu.  facts  funfacts  DonaldTrump  Republicans  News,0
289,Kredo0  jonathanvswan Would  trump's advisor Stephen Miller be senior?,0
290,"PatRobertson says the Lord told him  Trump will be re-elected.

Well, Pat please tell us, while you had his 'ear', that you also begged for a cure &amp; end of the  coronavirus.",1
291,It is looking grim. It is fitting that this is how  trump's regime will end. Would still rather have people stay safe and well....💙😷,0
292,"Watch  Obama rip  Trump and the  GOP for 4 years of failure

 TraitorInChief  RemoveTrump  TrumpFascist  TrumpTraitor  donaldtrump  TrumpRapist  RacistPresident 
 TrumpLies  Russia  realDonaldTrump  TrumpRacist  TrumpLoser  Fascism  BunkerBoy",0
293,"After getting rid of  TRump, the wannabe  Dictator,  JoeBiden will oppose real  dictators like  Lukashenko in  Belarus",1
294,"realDonaldTrump “All means have been used — lies, brutality, incitement. But fear has been  trump’s main weapon.  Fear, which depends on pitting one group against another, is the currency of the  trump presidency.”  GOP  realDonaldTrump  LindseyGrahamSC  senatemajldr",0
295,TrumpVirusCatastrophe:  Trump the  Covid19 SuperSpreader is a Con-Man-in-Chief Who Pulled Off the Deadliest &amp; Biggest Con Ever by Appealing to the Worst of Human Nature To Win Election  BlameTrump  TrumpIsANationalDisgrace  BlueWave  VoteBidenHarris  FBR,0
296,"End Sars protests: Osun governor escapes 'assassination attempt'
 breakingnews  news  china  trump
 assassination  attempt  bbcusa  escapes  governor  osun  protests  sars",0
297,"GatorsFB  marcorubio  tompetty Maybe after  November3rd it won't matter.
But until then-
Millions heard it not knowing what it meant.
Or knew what it meant &amp; didn't care.
As a black man in America, I care.
Every person of color should care.
Care &amp; read &amp; retweet.
 Trump  RacehorseTheory",1
298,""" POTUS News: Biden says he's on course to win US election as  Trump threatens to fight outcome  News"":",1
299,DonaldTrump hasn't been a good thing that's putting it mildly  ridge,0
300,Hey  Trump supporters: don’t you think it would have been nice if  GOP  McConnell  PaulRyan blocked  Democrats to hire Mueller in 2017. And not to bring articles of impeachment from  NancyPelosi. They could have done it as they did today with  AmyComeyBarrett  SCOTUS vote.  MAGA,1
301,"BreitbartNews Unless  FoxNews and all the other pro  Trump networks quickly side with democracy and urge  Trump to concede his loss, they will forever go down as the networks which supported a dictator!",0
302,"As  Trump,  TrumpSupporters,  WhiteSupremacist militias &amp;  Republican loyalists outwardly sabotage  American institutions &amp; undermine  USA  RuleOfLaw, supposedly concerned  Americans standby &amp; allow it.  Cult45  Outlaws4Trump  OnceACheater  AmericanCharade  ThingsGuiltyPeopleDo",0
303,"America is all set to vote to elect its new President amid tight security. Shops have been closed and covered for protection from any kind of violence.  p_ghildial brings you more details.

 ReporterDiary  US  USElection2020  Trump  Biden 

More videos:",0
304,"What an ignorant and confused fool.  trump is a fraud, phony, and failure. Trump’s the most socialist president the country has had in centuries. Trump has nothing to offer American people except more of his self-serving agenda and bogus propaganda ignorant trump trash eat up.",0
305,thehill .. she's safe ... OTOH It's Common Knowledge™  BabyGate  BunkerBoy- n-bitch  maga  kag  covFeFe-19  CaptainContagious  DonaldTrump is f3cked . . .,0
306,"Looks like mail-in ballots might put  Biden over the top in  Michigan,  Wisconsin and  Pennsylvania! 

If true, BALL GAME OVER FOR THE  TRUMP PRESIDENCY! 

 Election2020",0
307,"TrumpRallyOmaha 
 Trump is reckless
 TrumpCrimeFamily 
 TrumpsTheBiggestLiarEver 
 DonTheCon
 TrumpVirus",0
308,"CatEyezGreen_  MysterySolvent Hey Everyone, let the  NBC top sponsors know You are boycotting them! NBC caved into  Trump and will air his TownHall around same time as  Biden has his tonight. Anything for ratings!!
 BoycottNBC 
 BoycottComcast 
 BoycottTrumpTownHall 
 BidenTownHall 
 BidenHarrisLandslide2020",0
309,Trump  COVID19,1
310,DonaldTrump need have press conference asap urge American People to not recognize  JoeBiden  Democrat claim win when legal proceed underway votes counted recounted as legally invalid but boycott   LeftMedia for criminal election hijack false brainwash propaganda like the polls.,1
311,"I am sitting 12 feet from a 32 inch TV and I can see that  Trump's pupils are fully dilated.
He looks like the  devil in  CarnivaleHBO.",0
312,"realDonaldTrump Definitely Trump will never ever, not even by mistake, will repair the Economy he already destroyed...
His only solutions are: BLAME SOMEONE ELSE, but not a plan coming from Him.
 Trump  KAG  MAGA  VoteHimOut2020  VoteBidenHarrisToSaveAmerica",0
313,"TrumpElectionInterference=the Sickening Reality  Trump's brought to fruition. 
We're told Not toTrust   PostOffice. When we scoffed he&amp;  McConnell made it Reality by appointing a CORRUPT PostMast&gt;  DeJoy4Prison. 

 VoterSuppression is a Crime! They have to pay&amp; MUST be charged.",0
314,NewYork says good riddance to native son Donald  Trump    ByeDon,0
315,GiGicmka  thepoliticalcat Victims of coronavirus  Trump is dancing on their graves.,0
316,"DavidPakmanShow
Leftists come for  NoamChomsky,  NancyPelosi  CNN interview goes wrong,  MitchMcConnell schooled in debate with  AmyMcGrath, and much more  SCOTUS Hearings a Horror Show as  Trump Rants 10/14/20 - YouTube -",0
317,"TrumpCrimeFamily 
 TrumpCrimeFamilyForPrison
 TrumpConFamily
 TrumpIsAGrifter
 TrumpIsDesperate
 TrumpIsBroke

 COVID19 &amp;  coronavirus is BACK !
 TrumpHasNoPlan
 Trump

 BidenHarris2020
 SeniorsForBiden 

 VoteBlueToEndThisNightmare

 VoteLikeYourLifeDependsOnIt",0
318,What’s a fact is that  Trump still can’t get a majority popular vote and he got away with just as slim margins in the states he “won”  in 2016.,0
319,"Michigan  Pennsylvania  Florida  Georgia  Wisconsin   Texas  Arizona  Nevada  NorthCarolina  SouthCarolina  NewHampshire   GOPWomen
 TheHeartleand where people who believe is good  character 

Is this a guy  Trump the guy you want to represent you, represent the country. 

No!",1
320,realDonaldTrump Funny how the fact that the media won't help  realDonaldTrump with his lies irks him so much! Even  Fox is backing off supporting the  Trump crazy  lies!,0
321,Biden gains as suburban women and elderly voters look to dump Trump -  Biden  Harris  Trump  Pence  GOP  Republican  Democrat  Democrats  COVID19  Covid  Coronavirus,0
322,Can President  Trump overcome a Covid-19 spike in  Wisconsin - Nov 3   10:37 AM ET,0
323,"seanspicer 🚨  Trump  FAILED   America 

 Trump FAILED to handle  COVID19 leading to 220,000+ DEAD  Americans.

There’s NO end for  COVID DEATHs until at least Mid-2021.

 TRUMP is also NEGLIGENT in his response to  ClimateCrisis. 

 TrumpIsACompleteFailure",0
324,Trump Street Art,0
325,"UGH. FINALLY. They announce  Trump and start playing the Lee Greenwood. 

Trump comes out to the stage and starts throwing hats out into the crowd. A *clearly* still drunk Pence follows him",1
326,It's a  GOP  RudyGiuliani  Trump-ed up bunch of crap.  The laptop came from Rudy pretending to be  HunterBiden handing the computer to a blind repairman.  How big a dumbass so you have to be to fall for ANOTHER  Trump SCAM?,0
327,Friday evening and he’s doing exactly what he said he would do months ago - refusing to accept the outcome of the  election.  DonaldTrump  JoeBiden,0
328,"Trump  Trump Commission on Presidential debates  CommissiononPresidentialdebates  Politics President Trump, Joe Biden's Negative Tests Trigger Plexiglass Barriers' Removal NOW on",1
329,"OpenLetter  Prior  TrumpAdministration

 Trump is not just a “bad” president, he’s
.  Dangerous  Vengeful  Erratic  Unfit/ have  NuclearButton

We NEED detailed info BEFORE  Election

 JohnKelly  AmbJohnBolton  DNIDanCoats
 jaketapper  NicolleDWallace  MaddowBlog  chrislhayes",0
330,GOP  Trump stop the count filings are tweets with legal fees.  RepublicansAreTheProblem,0
331,"President  realDonaldTrump: “Success is going to bring unity‼️”

VOTE VOTE VOTE‼️
 realDonaldTrump
 MAGA
 Trump",1
332,"therecount Deadliest events in US history:
1. 675,000 1918 Flu Pandemic
2. 620,000  Civil War
3. 405,399  WWII
4. 230,800  COVID-19 (as of 11/01)
5. 162,950  WWI
 Trump still downplaying COVID-19 and working hard on his history book entry and Donald  Trump is one of the biggest tax cheats.",0
333,FactCheck: Toned-down  Trump continues his onslaught of falsehoods,0
334,"AlexisGZall The answer is No.
They identify with what  Trump says, what he does &amp; doesn't do and all he stands for...
No matter how much they pretend they don't.",1
335,"ABC  FederalJudge orders  USPS to deliver ballots on time but will they defy and slowdown delivery - The penalty means nothing for a  Trump who defied authority his entire life

 

 Dejoy  Trump  Conspiracy",0
336,"CNN Are you fighting like you fought for the racist crime bill or the Obamacare that increased premiums ? Wake up Schumer,  BidenHarris2020 is bad for America.  Trump undid all bad Biden policies and did more for America in just four years. Get behind  TrumpPence2020 and build USA",1
337,Conspiracy THEORY.  THE  TRUMP FAMILY Learned How To Lie And Cheat Just Like their Father. THAT'S THE WAY THEY DO BUSINESS ALSO. BUT THAT'S NOT HOW YOU RUN OUR COUNTRY.  VOTETRUMPOUT2020  NOTMYPRESIDENT  TEXAS  FLORIDA  NorthCarolina  Pennsylvania  Arizona  Ohio  Iowa  Michigan,0
338,Where are these people going that are dressing up? 🥴 Hopefully these are just zoom parties... don’t forget the  Covid19 is out of control  Maskup or  stayhome  trump is winning at one thing - check us out! 😥,1
339,SpeakerPelosi “The first Supreme Court justice  to be confirmed without bipartisan support since 1869.”  howdoyoulivewiththat  trumplies  trump  GOP  realDonaldTrump,1
340,Wisconsin  vote  Trump The Hell Out. Let's Do This.,0
341,"SteveRustad1  McGrath stands for Kentucky &amp; America  MoscowMitch just doesn't get that and  Trump proved in that debate he doesn't care about our families. Watch &amp; retweet!

 McGrath2020
 BidenHarris2020 
 PresidentialDebate2020 
 Debates2020
 VoteOutEveryRepublican",0
342,"Son of  US dictator  Trump calling on his father's thugs to go after political opponents and ""have some fun""",0
343,JakeSherman  maggieNYT  Trump needs to grow a set!  BeAMensch,1
344,"Is  CNN bought and paid for by the CCP? Having to listen to  ErinBurnett extols the virtues of  China’s lockdown only to scoff at  Trump(who been on that  Chinese ass for a minute) for saying he could take them on...I swear, the  EnemyOfThePeople has never been so clear.",1
345,"CHICAGO SUN TIMES 
   r2p  ChicagoSunTimes  Chicago  Illinois  UE  USA  Obama  Biden  Trump  Harris  Pence  Cubs  WhiteSox  Bears  Bulls  Coronavirus  Covid19  BLM  GeorgesFloyd  Epstein  Beirut  USPS  JacobBlake  AmyConeyBarrett  RBG  BreonnaTaylor",0
346,"atrupar I am middle aged and thought I had seen it all. Not only Is  Trump and the millions who voted for him deeply racist and irrational but he is also a dictator in the style of a Mussolini and a large section of the  American public are  facilitating his coup ... 

 BidenHarris2020",0
347,"realDonaldTrump Said the 5❌ Draft Dodger who HONOR he Knows Not

Ever hear him Honor his Father?
You know, Fred
Who Expanded Empire More
Since begun by Grandpa's GoldRush Score?
{ trump 's 'I'm a success'  hoax easy👉they're dead}

Dr:""Bonespured""
Rented office space
From Fred it has been heard",1
348,"richardhine  MeidasTouch 🚨 “A Man is Known by the Company he Keeps”

      TrumpMustGo 

Look at the People  Trump associates with: 

Roger Stone

Paul Manafort

PEDOPHILE Jeffery Epstein &amp; Ghislaine Maxwell

Steve Bannon

Michael Flynn

George Nader

 TrumpCrimeFamily MUST GO!!",0
349,"trump  TheVillages   Florida puts positive spin Death from  coronavirus lies to supporters rounded curve  covid_19 it's beautiful thing sees light it's not darkness it's light trump spews evil received best medical care when infected  coronavirus at  WRBethesda
 VoteBidenHarris",1
350,The good old “get government out of the way of business” GOP in action.  Trump  GOP  racist,0
351,"MysterySolvent Breathy commentary on finding a new career if you get laid off.

 Trump 
 TrumpCrimeFamily 
 IvankaForPrison",1
352,"angieslife  mmpadellan  PrincessBravato  TeaPainUSA  jilevin  Bill19300155  PeteButtigieg  mtnlovertoo  ohthatwright  jfreewright  WOsrin  curly_woowoowoo  WolfgangUtten  cajunmusicmp3  thomscatt  RealSashaKatz1  HunterJCullen  Flush_The_Turd  Eppie888 Who thinks  realDonaldTrump won the debate?  SILENCE. CRICKETS. 

 Trump INCAPABLE of showing empathy for now 223,000 DEATHS. As to why didn't  JoeBiden do more in their administration? ASK  senatemajldr who on eve of  BarackObama's inauguration COMMITTED to DO NOTHING for  44",0
353,"I doubt that anybody in  Trump's camp told him that he lost his  TrumpTownHall debate, in which he was the only participant.",0
354,"Trump threats of “lawyering up” is what allowed him to scam so many people, young &amp; old, throughout his business career. The piper has come calling &amp; nobody gets to tell  US our votes are frauds and don’t count. We believe in  Democracy. The fact is that  Trump appears not to.",0
355,"Donny Jr, how many times have we told you not to tweet until you’ve come down from your latest binge?  radicle &amp;  rig? It’s like  DonaldTrump is tweeting! Also, you’re lying; there is no  tax increase under  JoeBiden, &amp; you don’t have any friends.  BidenHarris2020  DonaldTrumpJr",0
356,"DonaldJTrumpJr Think the media will ignore Richard Hopkins, The United States postal worker who is the whistleblower coming out to testify how workers were told to backdate post marks on election ballots??? . VoterFraud  Trump  Evidence",1
357,I still believe  Trump was never sick with  COVID19; it was another  DonCon ploy.,0
358,"RyanAFournier  ThePeoplesPresident 
 RedTsunami2020 
 Trump2020LandslideVictory 
 Trump.  Trump2020
 AmericaForTrump 
 AmericaFirst  USA
 VOTE  VoteForTrump",1
359,"Trump tweets: ""As long as I am President, I will always stand with the HEROES of Law Enforcement!"" (Like my  DOJ PUPPET, BILL BARR who enforces only the LAWS I TELL HIM TO ENFORCE!! Like the FBI which I have COMPLETELY GUTTED!! Like my RUBBER STAMP SUPREME COURT!! I'M KING!!!)",1
360,. realDonaldTrump 0nly blind loyalists permitted in corrupt  Trump administration  increasingly no entire government lacks credibility,0
361,WATCH: Trump supporter body slams 14-year-old during wild brawl involving GOP congressional candidate -  Biden  Harris  Trump  Pence  GOP  Republican  Democrat  Democrats  COVID19  Covid  Coronavirus  Pandemic  Virus,0
362,"Keith Olbermann calls  Trump a ""whiny little Kunta Kinte"", then smugly backtracks after backlash    Trump2020  hollywoodisdead  ElectionNight",1
363,"dbolt70 America ""under""  trump ....
An unhinged drama
Brighter days to come ....
With the blessing of  Obama!",0
364,"wow,  Trump is seriously slurring.",0
365,"Whoever listens to the  US  Trump only hears nonsense, lies, ridicule, slurs and racism all day. This man no longer has all the cups in his closet.",0
366,● NEWS ●  Variety  ☞  SteveBannon Banned by  Twitter After He Calls for  Trump to Behead Dr. Anthony  Fauci,0
367,"Biden won.
 Trump is out.
Next is  Putin .
First,  Kosovo’s Putin with his friends, then the original Putin.

LET’S MAKE HISTORY!",0
368,The Republican president has long charged that mail-in ballots are a way to cheat.  FMTNews  JoeBiden  DonaldTrump  USPresidentCandidate,1
369,"Biden misreads the teleprompter: ""I got to the Senate 180 years ago‼️”

Joe Biden is not mentally fit to be president. He cannot ever complete a coherent sentence.  He cannot answer questions without a script nor even read a teleprompter.

 realDonaldTrump
 MAGA
 Trump",1
370,This is leadership.  The  GOP and  Trump are criminals.,1
371,Lindsey rolls over and plays dead for  Trump,1
372,realDonaldTrump  cindyhydesmith Anti-Trump? PLEASE VOTE  MakeAmericaUnitedAgain  vetsforscience  FTrumpS  OperationMAGA  antitrump  dumptrump  biden2020  trump  voteblue  negligenthomicide  blm  murdererinchief  bidenharris  shitler  FuckTrumpsShit,0
373,"Hey  Illinois! Thanks to the FAILED LEADERSHIP of  realDonaldTrump, over 423,539  Illinoisans have been sickened with  Coronavirus and over 10,075 have DIED...so far!

All avoidable. All due to  Trump's SHAMEFUL arrogance!

 TrumpIsANationalDisgrace",0
374,"If  trump wins in 2020, the  climatechange battle will essentially be lost

 USA and  PlanetEarth can't afford another 4 years of complete denial and will probably be beyond tipping point of available recovery by 2024

 BidenHarris2020",0
375,"TVEvangelists that started off  Trump were  charismatics ( prosperity  gospel)  Conservative believers wrote these  charismatics as playing with  StrangeFire, the  evil sons of  Eli, disobedient, doing things NEVER commanded!  Antichrist comes out of  Apostasy! 

 EWTN  CBN  AP",0
376,Already voted for  Biden and against  Trump!,0
377,"realDonaldTrump  Trump conveniently uses the term 'found' the ballots, in reality they are remaining uncounted ballots, left to be counted at the end as requested by Republicans.  Trump is desperate, wants to stop counting votes when he is in the lead, as an autocracy would to fix an election.",0
378,"RealJamesWoods Such disgusting comments that are typical of  Trump supporters
Decency is definitely the essential issue in this presidential election",1
379,"MaryLTrump warned  America  donaldtrump  burn America ground retain power avoid prosecution crimes  realdonaldtrump charged b/c  MaryTrump said mentally ill not seek help remain incurable narcissistic psychopath like  JeffreyMacDonald millions walking streets
 VOTE 
 JoeBiden🇺🇸",0
380,"update: WASHINGTON TIMES: NO! DRUMPF PULLS AHEAD of joe biden in THE KEY BATTLEGROUND STATE of IOWA (November 1, 2020; 8:09 HKT)  DONALDTRUMP  DRUMPF  TRUMP  FAIL  joebiden",1
381,"police supporting a  racist  RacistInChief  DonaldTrump 

6 words fix everything 
 JoeBidenLockUpDonaldTrump 

 TrumpTrialForCoronavirusDeaths",0
382,"yourmom009  PardonTheIdiot  CNN  Trump supporters are either stupid, brainwashed, or both.  BidenHarris2020",0
383,"CNN Polls:  Biden leads  Trump in Pennsylvania and tight race remains in Florida - CNNPolitics

🎈  FL : 29 electoral votes: 
50% Biden, 46% Trump. The difference is right at the margin of errors.

🎈 PA: 20 electoral votes: 
53% biden, 43% Trump.",0
384,"thehill . thehill 
These  Trump supporters are all mentally ill, who votes for a guy who is responsible for the death of 300,000 dead American bodies killed by  TrumpHasNoPlan ?

 JoeBidenLockUpDonaldTrump 
 TrumpChinaBankAccount",0
385,"Donald  Trump's Twitter Account Was Hacked Because His Password Was Literally Just ""MAGA2020!"" 
 USA 
Lessons in cybersecurity don'ts from the President of the United States.",0
386,"Well, since  Trump is barely able to read, let alone write, that was never really an option.",0
387,"Why it's important to understand the 2020  Presidental Election will seal the fate of America.
Either U.S. will elect  Biden as POTUS, and vote out the petty, dangerous tyrant,  Trump, or we will see the Republic absorbed into the GOP Cult.
 RESIST 🌊🌊
👉",0
388,About  WhoWeAre  BidenforPresident  Trump Crashes As RNC Chair  Steele And Michael Moore Back  Biden | The Beat With ...   via  YouTube,0
389,"CommoNurse Communists in the White House? Trump's Scott Atlas appears on Russian TV. RT's content is labeled as propaganda attempting to influence U.S. public opinion, policy, and laws.  Trump  TRUMP2020ToSaveAmerica",1
390,● NEWS ●  CommonDreams  ☞ 'Every Vote Must Be Counted':  Democracy Defenders Face Off Against  Trump Lies About  Election Results,0
391,"Trump enflames  Lies

 JoeBiden NOT
- a criminal
- sending  Jobs overseas
- Not  LockingDown country

 LockHerUp &amp;  Disaster claims go up as  COVID19  Infections going up.
 Trump wants to  Deflect attention from poor  Pandemic response.

 Glendale  Scottsdale  Gilbert  Peoria",0
